Fabricante;Modelo;Ano;Problema;Causa;Solucao;Orcamento;Categoria do Problema;Gravidade do Problema;Tempo Estimado de Reparo
Lexus;C-Class;2010;Ar condicionado no resfria;Compressor de ar condicionado (A/C);Reparo na transmisso;687;Transmissão;Alta;1 dia
Dodge Ram;3;2018;O monitor Evap no funciona aps o mdulo de controle do motor (ECM) DTC P0442 O solenide de ventilao  atualizado;Falha no conversor de torque;Substituição do solenóide/válvula de ventilação do canister de emissões evaporativas (EVAP)  Substituição da válvula de controle de purga do canister  Substituição da bomba de combustível;1843;Elétrico;Média;1 dia
GMC;XC60;2016;Cmbio travado;Solenide de purga do canister  Conectores de mangueira de borracha evaporativa  Conjunto do monitor de integridade do sistema evaporativo (ESIM)  Tampa do bocal de abastecimento de combustvel  Tanque de combustvel  Gargalo do bocal de abastecimento do tanque de combustvel;Compressor de ar condicionado (A/C) substituído ou sensor de fluxo do compressor de ar condicionado (A/C) substituído;1514;Transmissão;Média;4 horas
BMW;XJ 3.0;2017;Baixo consumo de energia;Sensor de posio do eixo de comando  Sensor de posio do virabrequim;Substituio do solenide/vlvula de ventilao do canister de emisses evaporativas (EVAP)  Substituio da vlvula de controle de purga do canister  Substituio da bomba de combustvel;1880;Elétrico;Crítica;1 dia
Buick;RLX;2012;Superaquecimento do motor;Compressor de ar condicionado (A/C);Procedimento de aprendizagem do volume de ar em marcha lenta realizado/substitudo  Corpo do acelerador substitudo/limpo  Procedimento de aprendizagem da posio de liberao do pedal do acelerador realizado e Procedimento de aprendizagem do volume de ar em marcha lenta realizado;463;Freios;Média;3 dias
GMC;Encore;2021;Luz de verificao do motor em marcha lenta alta;Falha no conversor de torque;Conjunto de mdulo de controle do ventilador de resfriamento/ventilador substitudo  Conector do mdulo de controle do ventilador de resfriamento reparado/substitudo;1162;Sistema de Escape;Média;1 dia
Hyundai;ES350;2010;Sem partida  sem fasca;Passagens de lquido de arrefecimento obstrudas  Termostato de lquido de arrefecimento com defeito  Lquido de arrefecimento do motor contaminado  Ncleo do aquecedor obstrudo  Bomba de gua com defeito;Troca da bomba da direo;950;Elétrico;Média;4 horas
Jeep;RLX;2010;Cdigo de advertncia P2096.;Falha na caixa de transmisso;Troca da bomba da direo;1912;Freios;Média;4 horas
Jeep;Accord;2010;Ar condicionado no resfria;Alternador  Alternador/Regulador de voltagem interno com defeito  Fiao do alternador  Caixa de fusveis auxiliares da bateria;Vlvula de controle de tempo de vlvula de escape substituda  leo/filtro do motor substitudo;1426;Motor;Média;4 horas
Acura;X3;2017;Sem manivela  No inicia;Solenide de purga do canister  Conectores de mangueira de borracha evaporativa  Conjunto do monitor de integridade do sistema evaporativo (ESIM)  Tampa do bocal de abastecimento de combustvel  Tanque de combustvel  Gargalo do bocal de abastecimento do tanque de combustvel;Vlvula de ventilao do crter de operao de carga parcial substituda  Vlvula de controle de ventilao do crter reparada/substituda  Tampa da vlvula substituda/resselada  Sistema de ventilao positiva do crter (PCV) reparado/substitudo.;1743;Elétrico;Crítica;1 dia
Cadillac;C-Class;2012;Ar condicionado não está gelando;Bobina de ignio com falha;Ncleo do aquecedor substitudo/limpo/consertado/sangrado  Procedimento de lavagem do sistema de arrefecimento;1162;Direção;Média;4 horas
Lexus;X3;2018;Bateria no est sendo carregada pelo alternador.;Sistema de admisso de ar restrito  Sistema de exausto restrito  Turbocompressor com falha;Limpeza do radiador;2187;Direção;Média;1 dia
Audi;Sierra;2012;Marcha lenta irregular  falha de ignio do motor. Cdigo de advertncia P0014;Motor do atuador da porta de mistura  Eixo da porta de mistura  Fluxo do lquido de arrefecimento  Termostato do lquido de arrefecimento do motor  Ncleo do aquecedor  Cabea de controle do ar condicionado de ventilao do aquecedor (HVAC);Limpeza do radiador;2400;Direção;Média;4 horas
Chevrolet;Accord;2012;Sem aquecimento;Sensor de oxignio com defeito;Troca das pastilhas de freio;1103;Freios;Crítica;4 horas
Toyota;Eclipse;2016;Luz de advertncia de lembrete de manuteno/Procedimento de reinicializao.;Fluido de transmisso automtica  Bobina(s) de ignio  Vela(s) de ignio  Pistes do balancim de controle de elevao de tempo varivel (VTEC)  Molas do balancim de controle de elevao de tempo varivel (VTEC);Substituio do solenide/vlvula de ventilao do canister de emisses evaporativas (EVAP)  Substituio da vlvula de controle de purga do canister  Substituio da bomba de combustvel;2187;Sistema de Escape;Média;1 dia
Nissan;A3 Quattro;2018;Motor superaquecendo;O monitor Evap no funciona aps o mdulo de controle do motor (ECM) DTC P0442 O solenide de ventilao  atualizado;Conjunto do monitor de integridade do sistema evaporativo (ESIM) substitudo/reparado/conectado  Tampa do bocal de abastecimento de combustvel substituda/apertada/reparada;487;Freios;Crítica;4 horas
Jeep;Accord;2017;Marcha lenta irregular  falha de ignio do motor. Cdigo de advertncia P0014;O monitor Evap no funciona aps o mdulo de controle do motor (ECM) DTC P0442 O solenide de ventilao  atualizado;Substituiu o motor de arranque ou consertou a emenda J308;1834;Freios;Crítica;1 dia
Mitsubishi;Eclipse;2010;Luz de advertncia de lembrete de manuteno/Procedimento de reinicializao.;Sensor de oxignio com defeito;Substituir sensor de posio do virabrequim (CKP)  Substituir/programar chave imobilizadora  Substituir correia dentada;492;Elétrico;Média;4 horas
Audi;Sedona;2018;Luz do motor acesa;Fluido de transmisso automtica  Bobina(s) de ignio  Vela(s) de ignio  Pistes do balancim de controle de elevao de tempo varivel (VTEC)  Molas do balancim de controle de elevao de tempo varivel (VTEC);Troca da bateria;487;Motor;Média;1 dia
Kia;A4;2017;Sem aquecimento;Tubo de escape com vazamento  sensor de oxignio com defeito.;Substituio do sensor de airbags;863;Freios;Média;3 dias
Acura;RLX;2012;Cdigo de advertncia de falha de ignio do motor P0352;Desgaste nas pastilhas de freio;Vlvula de ventilao do crter de operao de carga parcial substituda  Vlvula de controle de ventilao do crter reparada/substituda  Tampa da vlvula substituda/resselada  Sistema de ventilao positiva do crter (PCV) reparado/substitudo.;2475;Motor;Média;4 horas
Kia;Elantra;2015;Ar condicionado no est gelando;Falha na operao de carga parcial da vlvula de ventilao do crter.;Procedimento de aprendizagem do volume de ar em marcha lenta realizado/substitudo  Corpo do acelerador substitudo/limpo  Procedimento de aprendizagem da posio de liberao do pedal do acelerador realizado e Procedimento de aprendizagem do volume de ar em marcha lenta realizado;1834;Elétrico;Crítica;2 dias
Jaguar;Ram 1500;2016;Sem energia, bateria descarregada;Bomba da direo hidrulica com defeito;Compressor de ar condicionado (A/C) substituído ou sensor de fluxo do compressor de ar condicionado (A/C) substituído;1069;Sistema de Escape;Média;1 dia
Volvo;Sedona;2018;Transmisso com falha;Bobina de ignio com falha;Troca dos amortecedores;1389;Freios;Média;4 horas
Honda;XJ 3.0;2010;Superaquecimento do motor;Sensor de posio do eixo de comando  Sensor de posio do virabrequim;Sensor de relao ar/combustvel (A/F) substitudo/apertado  Sensor de oxignio aquecido (HO2S) substitudo Banco 1 Sensor 1 (B1S1)  Sensor de oxignio aquecido (HO2S) substitudo Banco 1 Sensor 2 (B1S2);1005;Transmissão;Média;1 dia
Chevrolet;F-150;2012; necessrio redefinir o ciclo de conduo do monitor DTC;Roda dentada do eixo de comando de escape  Vlvula solenide de controle de temporizao da vlvula de escape  Corrente de distribuio;Compressor de ar condicionado (A/C) substitudo ou sensor de fluxo do compressor de ar condicionado (A/C) substitudo;950;Motor;Média;2 dias
Lexus;A4;2010;Suspenso com rudos;Fluido de transmisso automtica  Bobina(s) de ignio  Vela(s) de ignio  Pistes do balancim de controle de elevao de tempo varivel (VTEC)  Molas do balancim de controle de elevao de tempo varivel (VTEC);Troca da bateria;749;Direção;Crítica;1 dia
Audi;Silverado;2010;Transmisso com falha;Falha no sensor de airbags;Substituio do compressor de ar;1520;Elétrico;Crítica;3 dias
Ford;XC60;2015;Sem aquecimento;Motor do atuador da porta de mistura  Eixo da porta de mistura  Fluxo do lquido de arrefecimento  Termostato do lquido de arrefecimento do motor  Ncleo do aquecedor  Cabea de controle do ar condicionado de ventilao do aquecedor (HVAC);Mdulo de controle de transmisso (TCM) substitudo/reparado/apertado/ajustado;2091;Freios;Média;1 dia
Honda;Infiniti FX35;2021;Ar condicionado no est gelando;Alternador  Alternador/Regulador de voltagem interno com defeito  Fiao do alternador  Caixa de fusveis auxiliares da bateria;Bobina(s) de ignição substituída(s)/reparada(s)  Bobina(s) de ignição substituída(s) e vela(s) de ignição substituída(s)/reaprendida(s);377;Suspensão;Média;2 dias
Toyota;Camry;2017;Cmbio travado;Problema conhecido com o mdulo de controle do ventilador, que  incorporado no prprio ventilador auxiliar do radiador/condensador, causando um consumo de corrente. Alm disso, o controlador de velocidade do soprador para o aquecedor e o ventilador do A/C pode causar um consumo de corrente anormal.;Bobina(s) de ignio substituda(s)/reparada(s)  Bobina(s) de ignio substituda(s) e vela(s) de ignio substituda(s)/reaprendida(s);1741;Elétrico;Média;2 dias
Dodge Ram;X3;2020;Baixo consumo de energia;Procedimento de reinicializao do lembrete de manuteno somente para informaes;Substituio do solenide/vlvula de ventilao do canister de emisses evaporativas (EVAP)  Substituio da vlvula de controle de purga do canister  Substituio da bomba de combustvel;492;Sistema de Escape;Média;4 horas
BMW;C-Class;2020;Marcha lenta irregular  falha de ignio do motor. Cdigo de advertncia P0014;A velocidade do motor excedeu 200 RPM acima da velocidade de marcha lenta desejada;Ncleo do aquecedor substitudo/lavado/limpo ou motor do atuador da porta de mistura substitudo/conectado/reiniciado/reparado ou procedimento de lavagem do sistema de arrefecimento realizado;1843;Sistema de Escape;Crítica;2 dias
Chevrolet;F-150;2021;Ar condicionado no resfria;Solenide de purga do canister  Conectores de mangueira de borracha evaporativa  Conjunto do monitor de integridade do sistema evaporativo (ESIM)  Tampa do bocal de abastecimento de combustvel  Tanque de combustvel  Gargalo do bocal de abastecimento do tanque de combustvel;Substituio do solenide/vlvula de ventilao do canister de emisses evaporativas (EVAP)  Substituio da vlvula de controle de purga do canister  Substituio da bomba de combustvel;1520;Direção;Média;4 horas
Chevrolet;XJ 3.0;2016;Superaquecimento do motor;Sistema de admisso de ar restrito  Sistema de exausto restrito  Turbocompressor com falha;Conjunto do monitor de integridade do sistema evaporativo (ESIM) substitudo/reparado/conectado  Tampa do bocal de abastecimento de combustvel substituda/apertada/reparada;1218;Direção;Média;1 dia
Acura;Silverado;2015;O monitor Evap não funciona após o módulo de controle do motor (ECM) DTC P0442 O solenóide de ventilação é atualizado;Falha no sensor de airbags;Bobina(s) de ignio substituda(s)/reparada(s)  Bobina(s) de ignio substituda(s) e vela(s) de ignio substituda(s)/reaprendida(s);1512;Freios;Média;2 dias
Buick;X3;2010;Tremores do motor;O monitor Evap não funciona após o módulo de controle do motor (ECM) DTC P0442 O solenóide de ventilação é atualizado;Reparo na transmisso;2222;Elétrico;Crítica;1 dia
Dodge Ram;X3;2019;Luz de verificao do motor em marcha lenta alta;A velocidade do motor excedeu 200 RPM acima da velocidade de marcha lenta desejada;Substitudos/reposicionados ambos os sensores de nvel de combustvel, substitudo conjunto de bomba de combustvel/unidade de envio;1170;Sistema de Escape;Média;1 semana
Lexus;Altima;2015;Transmisso com falha;Mdulo de controle de transmisso (TCM) e/ou chicote eltrico;Reparo no conversor de torque;1512;Transmissão;Média;1 semana
Ford;Altima;2021;Luz de advertncia de lembrete de manuteno/Procedimento de reinicializao.;Roda dentada do eixo de comando de escape  Vlvula solenide de controle de temporizao da vlvula de escape  Corrente de distribuio;Unidade de estgio final de controle do soprador substituda/reparada  bateria substituda/recarregada/programada;1139;Sistema de Escape;Média;4 horas
Infiniti;C-Class;2020;Ar condicionado no resfria;A velocidade do motor excedeu 200 RPM acima da velocidade de marcha lenta desejada;Turbocompressor substitudo/reparado  Clipe da alavanca de controle da vlvula de descarga substitudo/reparado/apertado;700;Transmissão;Média;1 semana
Volkswagen;Escalade;2019;Transmisso com reduo de marcha intermitente em velocidades de rodovia;Falha no sensor de airbags;Alternador substitudo/reparado  Fiao do alternador reparada/substituda/trocada  Caixa de fusveis auxiliar da bateria substituda/reparada/apertada;687;Sistema de Escape;Crítica;2 horas
Kia;Wrangler;2016;Cmbio travado;Circuito do ventilador com defeito impedindo que o ventilador esfrie o motor;Alternador substitudo/reparado  Fiao do alternador reparada/substituda/trocada  Caixa de fusveis auxiliar da bateria substituda/reparada/apertada;2222;Suspensão;Média;1 dia
Volkswagen;Accord;2020;Direo pesada;Sensores de nvel de combustvel;Substituio do sensor de airbags;1218;Transmissão;Média;4 horas
Nissan;Sedona;2012;O monitor Evap no funciona aps o mdulo de controle do motor (ECM) DTC P0442 O solenide de ventilao  atualizado;Amortecedores desgastados;Conjunto do monitor de integridade do sistema evaporativo (ESIM) substitudo/reparado/conectado  Tampa do bocal de abastecimento de combustvel substituda/apertada/reparada;1269;Sistema de Escape;Média;1 dia
Honda;A3 Quattro;2017;Transmisso com falha;Problema conhecido com o mdulo de controle do ventilador, que  incorporado no prprio ventilador auxiliar do radiador/condensador, causando um consumo de corrente. Alm disso, o controlador de velocidade do soprador para o aquecedor e o ventilador do A/C pode causar um consumo de corrente anormal.;Substituio do sensor de oxignio;1269;Sistema de Arrefecimento;Crítica;1 semana
Jeep;Jetta;2021;Freios falhando;Bateria com baixa carga;Substituio do sensor de oxignio;2109;Motor;Média;1 dia
Volvo;Jetta;2016;Sem manivela  No inicia;Fluido de transmisso automtica  Bobina(s) de ignio  Vela(s) de ignio  Pistes do balancim de controle de elevao de tempo varivel (VTEC)  Molas do balancim de controle de elevao de tempo varivel (VTEC);Substituio do compressor de ar;377;Sistema de Arrefecimento;Crítica;4 horas
BMW;X3;2012;Freios falhando;Desgaste nas pastilhas de freio;Troca da bomba da direo;1880;Motor;Média;1 dia
Ford;3;2021;Falha no sistema de airbags;Compressor de ar condicionado (A/C);Reparo na transmisso;2050;Elétrico;Crítica;1 dia
